year,avg_temp,Global Moving Average,year,city,country,avg_temp,Local Moving Average
1828,8.17,,1828,Seattle,United States,7.13,
1829,7.94,,1829,Seattle,United States,6.8,
1830,8.52,,1830,Seattle,United States,7.50136612,
1831,7.64,,1831,Seattle,United States,7.50136612,
1832,7.45,,1832,Seattle,United States,3.52,
1833,8.01,,1833,Seattle,United States,7.48,
1834,8.15,,1834,Seattle,United States,7.1,
1835,7.39,,1835,Seattle,United States,5.58,
1836,7.7,,1836,Seattle,United States,6.74,
1837,7.38,,1837,Seattle,United States,6.81,
1838,7.51,7.805454545,1838,Seattle,United States,6.59,6.613884749
1839,7.63,7.756363636,1839,Seattle,United States,7.3,6.629339295
1840,7.8,7.743636364,1840,Seattle,United States,6.69,6.619339295
1841,7.69,7.668181818,1841,Seattle,United States,6.81,6.556487829
1842,8.02,7.702727273,1842,Seattle,United States,6.88,6.5
1843,8.17,7.768181818,1843,Seattle,United States,6.55,6.775454545
1844,7.65,7.735454545,1844,Seattle,United States,6.41,6.678181818
1845,7.85,7.708181818,1845,Seattle,United States,6.88,6.658181818
1846,8.55,7.813636364,1846,Seattle,United States,7.50136612,6.832851465
1847,8.09,7.849090909,1847,Seattle,United States,8.99,7.03739692
1848,7.98,7.903636364,1848,Seattle,United States,6.6,7.018306011
1849,7.98,7.946363636,1849,Seattle,United States,6.68,7.026487829
1850,7.9,7.970909091,1850,Seattle,United States,7.06,7.004669647
1851,8.18,8.005454545,1851,Seattle,United States,7.79,7.104669647
1852,8.1,8.042727273,1852,Seattle,United States,7.08,7.129215102
1853,8.04,8.044545455,1853,Seattle,United States,7.61,7.195578738
1854,8.21,8.048181818,1854,Seattle,United States,6.99,7.235578738
1855,8.11,8.09,1855,Seattle,United States,7.31,7.31739692
1856,8,8.103636364,1856,Seattle,United States,7.44,7.368306011
1857,7.76,8.031818182,1857,Seattle,United States,7.91,7.405454545
1858,8.1,8.032727273,1858,Seattle,United States,6.91,7.216363636
1859,8.25,8.057272727,1859,Seattle,United States,6.27,7.186363636
1860,7.96,8.055454545,1860,Seattle,United States,7.63,7.272727273
1861,7.85,8.050909091,1861,Seattle,United States,7.18,7.283636364
1862,7.56,7.994545455,1862,Seattle,United States,6.36,7.153636364
1863,8.11,7.995454545,1863,Seattle,United States,7.44,7.186363636
1864,7.98,7.99,1864,Seattle,United States,7.64,7.189090909
1865,8.18,7.987272727,1865,Seattle,United States,7.05,7.194545455
1866,8.29,8.003636364,1866,Seattle,United States,7.39,7.201818182
1867,8.44,8.043636364,1867,Seattle,United States,7.12,7.172727273
1868,8.25,8.088181818,1868,Seattle,United States,6.99,7.089090909
1869,8.43,8.118181818,1869,Seattle,United States,8.33,7.218181818
1870,8.2,8.113636364,1870,Seattle,United States,7.85,7.361818182
1871,8.12,8.128181818,1871,Seattle,United States,7.97,7.392727273
1872,8.19,8.159090909,1872,Seattle,United States,7.34,7.407272727
1873,8.35,8.230909091,1873,Seattle,United States,7.47,7.508181818
1874,8.43,8.26,1874,Seattle,United States,7.32,7.497272727
1875,7.86,8.249090909,1875,Seattle,United States,6.9,7.43
1876,8.08,8.24,1876,Seattle,United States,7.12,7.436363636
1877,8.54,8.262727273,1877,Seattle,United States,8.14,7.504545455
1878,8.83,8.298181818,1878,Seattle,United States,7.89,7.574545455
1879,8.17,8.290909091,1879,Seattle,United States,6.74,7.551818182
1880,8.12,8.262727273,1880,Seattle,United States,5.95,7.335454545
1881,8.27,8.269090909,1881,Seattle,United States,6.86,7.245454545
1882,8.13,8.27,1882,Seattle,United States,6.88,7.146363636
1883,7.98,8.250909091,1883,Seattle,United States,6.97,7.112727273
1884,7.77,8.198181818,1884,Seattle,United States,6.81,7.052727273
1885,7.92,8.151818182,1885,Seattle,United States,8.66,7.174545455
1886,7.95,8.16,1886,Seattle,United States,7.85,7.260909091
1887,7.91,8.144545455,1887,Seattle,United States,6.77,7.229090909
1888,8.09,8.103636364,1888,Seattle,United States,7.73,7.191818182
1889,8.32,8.057272727,1889,Seattle,United States,8.08,7.209090909
1890,7.97,8.039090909,1890,Seattle,United States,7.03,7.235454545
1891,8.02,8.03,1891,Seattle,United States,7.61,7.386363636
1892,8.07,8.011818182,1892,Seattle,United States,7.54,7.448181818
1893,8.06,8.005454545,1893,Seattle,United States,6.16,7.382727273
1894,8.16,8.021818182,1894,Seattle,United States,6.88,7.374545455
1895,8.15,8.056363636,1895,Seattle,United States,7.26,7.415454545
1896,8.21,8.082727273,1896,Seattle,United States,7.2,7.282727273
1897,8.29,8.113636364,1897,Seattle,United States,7.5,7.250909091
1898,8.18,8.138181818,1898,Seattle,United States,7.6,7.326363636
1899,8.4,8.166363636,1899,Seattle,United States,7.08,7.267272727
1900,8.5,8.182727273,1900,Seattle,United States,7.95,7.255454545
1901,8.54,8.234545455,1901,Seattle,United States,7.27,7.277272727
1902,8.3,8.26,1902,Seattle,United States,7.33,7.251818182
1903,8.22,8.273636364,1903,Seattle,United States,6.98,7.200909091
1904,8.09,8.276363636,1904,Seattle,United States,7.7,7.340909091
1905,8.23,8.282727273,1905,Seattle,United States,7.59,7.405454545
1906,8.38,8.303636364,1906,Seattle,United States,7.99,7.471818182
1907,7.95,8.28,1907,Seattle,United States,7.28,7.479090909
1908,8.19,8.270909091,1908,Seattle,United States,7.32,7.462727273
1909,8.18,8.270909091,1909,Seattle,United States,6.52,7.364545455
1910,8.22,8.254545455,1910,Seattle,United States,7.24,7.379090909
1911,8.18,8.225454545,1911,Seattle,United States,6.73,7.268181818
1912,8.17,8.191818182,1912,Seattle,United States,7.43,7.282727273
1913,8.3,8.191818182,1913,Seattle,United States,6.99,7.251818182
1914,8.59,8.225454545,1914,Seattle,United States,7.92,7.337272727
1915,8.59,8.270909091,1915,Seattle,United States,8.13,7.376363636
1916,8.23,8.270909091,1916,Seattle,United States,6.23,7.252727273
1917,8.02,8.238181818,1917,Seattle,United States,7.25,7.185454545
1918,8.13,8.254545455,1918,Seattle,United States,7.85,7.237272727
1919,8.38,8.271818182,1919,Seattle,United States,6.94,7.202727273
1920,8.36,8.288181818,1920,Seattle,United States,7.19,7.263636364
1921,8.57,8.32,1921,Seattle,United States,7.2,7.26
1922,8.41,8.340909091,1922,Seattle,United States,6.66,7.253636364
1923,8.42,8.363636364,1923,Seattle,United States,7.82,7.289090909
1924,8.51,8.382727273,1924,Seattle,United States,7.46,7.331818182
1925,8.53,8.377272727,1925,Seattle,United States,8.26,7.362727273
1926,8.73,8.39,1926,Seattle,United States,8.72,7.416363636
1927,8.52,8.416363636,1927,Seattle,United States,7.3,7.513636364
1928,8.63,8.471818182,1928,Seattle,United States,7.86,7.569090909
1929,8.24,8.481818182,1929,Seattle,United States,6.96,7.488181818
1930,8.63,8.504545455,1930,Seattle,United States,7.23,7.514545455
1931,8.72,8.537272727,1931,Seattle,United States,8,7.588181818
1932,8.71,8.55,1932,Seattle,United States,7.37,7.603636364
1933,8.34,8.543636364,1933,Seattle,United States,7.06,7.64
1934,8.63,8.562727273,1934,Seattle,United States,9.04,7.750909091
1935,8.52,8.563636364,1935,Seattle,United States,7.33,7.739090909
1936,8.55,8.565454545,1936,Seattle,United States,7.67,7.685454545
1937,8.7,8.562727273,1937,Seattle,United States,7.39,7.564545455
1938,8.86,8.593636364,1938,Seattle,United States,8.12,7.639090909
1939,8.76,8.605454545,1939,Seattle,United States,8.25,7.674545455
1940,8.76,8.652727273,1940,Seattle,United States,8.81,7.842727273
1941,8.77,8.665454545,1941,Seattle,United States,8.83,7.988181818
1942,8.73,8.666363636,1942,Seattle,United States,8.1,7.997272727
1943,8.76,8.670909091,1943,Seattle,United States,7.51,8.01
1944,8.85,8.717272727,1944,Seattle,United States,7.84,8.080909091
1945,8.58,8.712727273,1945,Seattle,United States,7.57,7.947272727
1946,8.68,8.727272727,1946,Seattle,United States,7.39,7.952727273
1947,8.8,8.75,1947,Seattle,United States,8.03,7.985454545
1948,8.75,8.754545455,1948,Seattle,United States,6.68,7.920909091
1949,8.59,8.73,1949,Seattle,United States,7.05,7.823636364
1950,8.37,8.694545455,1950,Seattle,United States,6.77,7.689090909
1951,8.63,8.682727273,1951,Seattle,United States,7.33,7.554545455
1952,8.64,8.670909091,1952,Seattle,United States,7.56,7.439090909
1953,8.87,8.683636364,1953,Seattle,United States,8.11,7.44
1954,8.56,8.665454545,1954,Seattle,United States,7.04,7.397272727
1955,8.63,8.645454545,1955,Seattle,United States,6.09,7.238181818
1956,8.28,8.618181818,1956,Seattle,United States,7.18,7.202727273
1957,8.73,8.622727273,1957,Seattle,United States,7.52,7.214545455
1958,8.77,8.62,1958,Seattle,United States,9.28,7.328181818
1959,8.73,8.618181818,1959,Seattle,United States,7.5,7.402727273
1960,8.58,8.617272727,1960,Seattle,United States,7.51,7.444545455
1961,8.8,8.656363636,1961,Seattle,United States,8.12,7.567272727
1962,8.75,8.667272727,1962,Seattle,United States,7.66,7.597272727
1963,8.86,8.687272727,1963,Seattle,United States,7.91,7.629090909
1964,8.41,8.645454545,1964,Seattle,United States,6.83,7.512727273
1965,8.53,8.642727273,1965,Seattle,United States,7.91,7.591818182
1966,8.6,8.64,1966,Seattle,United States,7.88,7.754545455
1967,8.7,8.678181818,1967,Seattle,United States,8.38,7.863636364
1968,8.52,8.659090909,1968,Seattle,United States,7.73,7.882727273
1969,8.6,8.643636364,1969,Seattle,United States,7.51,7.721818182
1970,8.7,8.640909091,1970,Seattle,United States,7.55,7.726363636
1971,8.6,8.642727273,1971,Seattle,United States,7.1,7.689090909
1972,8.5,8.615454545,1972,Seattle,United States,7.09,7.595454545
1973,8.95,8.633636364,1973,Seattle,United States,7.58,7.588181818
1974,8.47,8.598181818,1974,Seattle,United States,7.72,7.570909091
1975,8.74,8.628181818,1975,Seattle,United States,7.09,7.594545455
1976,8.35,8.611818182,1976,Seattle,United States,7.46,7.553636364
1977,8.85,8.634545455,1977,Seattle,United States,7.63,7.530909091
1978,8.69,8.633636364,1978,Seattle,United States,7.78,7.476363636
1979,8.73,8.652727273,1979,Seattle,United States,7.88,7.49
1980,8.98,8.687272727,1980,Seattle,United States,7.75,7.511818182
1981,9.17,8.73,1981,Seattle,United States,8.23,7.573636364
1982,8.64,8.733636364,1982,Seattle,United States,7.35,7.596363636
1983,9.03,8.781818182,1983,Seattle,United States,7.94,7.673636364
1984,8.69,8.758181818,1984,Seattle,United States,7.41,7.658181818
1985,8.66,8.775454545,1985,Seattle,United States,6.71,7.566363636
1986,8.83,8.783636364,1986,Seattle,United States,8.25,7.671818182
1987,8.99,8.841818182,1987,Seattle,United States,8.67,7.781818182
1988,9.2,8.873636364,1988,Seattle,United States,8.1,7.824545455
1989,8.92,8.894545455,1989,Seattle,United States,7.87,7.832727273
1990,9.23,8.94,1990,Seattle,United States,8.09,7.851818182
1991,9.18,8.958181818,1991,Seattle,United States,8.2,7.892727273
1992,8.84,8.928181818,1992,Seattle,United States,9.03,7.965454545
1993,8.87,8.949090909,1993,Seattle,United States,7.68,7.995454545
1994,9.04,8.95,1994,Seattle,United States,8.35,8.032727273
1995,9.35,9.01,1995,Seattle,United States,8.62,8.142727273
1996,9.04,9.044545455,1996,Seattle,United States,7.61,8.224545455
1997,9.2,9.078181818,1997,Seattle,United States,8.41,8.239090909
1998,9.52,9.126363636,1998,Seattle,United States,8.7,8.241818182
1999,9.29,9.134545455,1999,Seattle,United States,7.79,8.213636364
2000,9.2,9.16,2000,Seattle,United States,7.72,8.2
2001,9.41,9.176363636,2001,Seattle,United States,7.9,8.182727273
2002,9.57,9.211818182,2002,Seattle,United States,8.03,8.167272727
2003,9.53,9.274545455,2003,Seattle,United States,8.74,8.140909091
2004,9.32,9.315454545,2004,Seattle,United States,9.04,8.264545455
2005,9.7,9.375454545,2005,Seattle,United States,8.57,8.284545455
2006,9.53,9.391818182,2006,Seattle,United States,8.49,8.272727273
2007,9.73,9.454545455,2007,Seattle,United States,8.04,8.311818182
2008,9.43,9.475454545,2008,Seattle,United States,7.57,8.235454545
2009,9.51,9.474545455,2009,Seattle,United States,8.02,8.173636364
2010,9.7,9.511818182,2010,Seattle,United States,8.25,8.215454545
2011,9.52,9.540909091,2011,Seattle,United States,7.35,8.181818182
2012,9.51,9.55,2012,Seattle,United States,8.08,8.198181818
2013,9.61,9.553636364,2013,Seattle,United States,9.95,8.372727273
